route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips,date,source_file
1,1931,154,220,102,2023-09-02,lines_2023-09-02.csv
110,723,67,23,4,2023-09-02,lines_2023-09-02.csv
123,1304,233,187,94,2023-09-02,lines_2023-09-02.csv
170,517,35,14,4,2023-09-02,lines_2023-09-02.csv
20,848,69,47,26,2023-09-02,lines_2023-09-02.csv
225,1288,97,144,50,2023-09-02,lines_2023-09-02.csv
25,821,52,13,13,2023-09-02,lines_2023-09-02.csv
26,599,43,57,27,2023-09-02,lines_2023-09-02.csv
268,1121,54,89,35,2023-09-02,lines_2023-09-02.csv
3,1285,120,139,53,2023-09-02,lines_2023-09-02.csv
40,1020,80,66,26,2023-09-02,lines_2023-09-02.csv
41,946,35,12,4,2023-09-02,lines_2023-09-02.csv
42,1091,93,47,30,2023-09-02,lines_2023-09-02.csv
47,1016,110,103,37,2023-09-02,lines_2023-09-02.csv
48,1005,65,71,26,2023-09-02,lines_2023-09-02.csv
64,858,99,26,21,2023-09-02,lines_2023-09-02.csv
65,910,188,39,38,2023-09-02,lines_2023-09-02.csv
67,980,47,104,35,2023-09-02,lines_2023-09-02.csv
1,2193,206,170,70,2023-09-03,lines_2023-09-03.csv
110,205,5,11,2,2023-09-03,lines_2023-09-03.csv
123,1415,220,164,74,2023-09-03,lines_2023-09-03.csv
170,185,22,3,1,2023-09-03,lines_2023-09-03.csv
20,229,28,4,4,2023-09-03,lines_2023-09-03.csv
225,1525,136,162,69,2023-09-03,lines_2023-09-03.csv
25,132,7,0,0,2023-09-03,lines_2023-09-03.csv
26,181,10,12,1,2023-09-03,lines_2023-09-03.csv
268,281,19,15,7,2023-09-03,lines_2023-09-03.csv
3,1315,129,67,36,2023-09-03,lines_2023-09-03.csv
40,1472,130,148,48,2023-09-03,lines_2023-09-03.csv
41,255,16,7,0,2023-09-03,lines_2023-09-03.csv
42,479,38,24,8,2023-09-03,lines_2023-09-03.csv
47,1508,117,124,50,2023-09-03,lines_2023-09-03.csv
